category	function
category16	VanY protein
category16	phi:0000268 - plasmid vegetative DNA replication
category16	phi:0000017 - phage prohead/capsid assembly; phi:0000065 - capsid scaffolding protein
category16	AAC(3)-II
category16	go:0019136 - deoxynucleoside kinase activity
category16	protein of unknown function DUF1643
category16	BsuBI/PstI restriction endonuclease, C-terminal
category09	phi:0000015 - phage tail assembly
category16	Phage conserved protein
category03	glycoside hydrolase family 2, sugar binding
category16	go:0003909 - DNA ligase activity
category10	phi:0000038 - phage class III gene transcription; phi:0000049 - positive transcriptional regulation of phage gene expression; go:0030401 - transcription antiterminator activity
category16	putative carbohydrate kinase
category16	glycosyltransferase family 6
category16	POPC PROTEIN
category16	esterase, PHB depolymerase family
category09	phi:0000087 - phage tail tip protein
category16	type I phosphodiesterase/nucleotide pyrophosphatase
category16	phi:0000083 - phage tail tube protein
category16	methylisocitrate lyase
category02	phi:0000074 - phage terminase small subunit
category16	alpha-amylase
category16	PECTINESTERASE (PECTIN METHYLESTERASE) TRANSMEMBRANE PROTEIN
category16	putative anti-oxidant protein, AhpCTSA family
category16	chromosome segregation ATPases
category16	phi:0000161 - head/capsid
category16	peptidase M22, glycoprotease
category16	putative lipoprotein
category16	hypothetical protein ORF053
category02	phi:0000074 - phage terminase small subunit; phi:0000019 - phage DNA maturation; go:0003677 - DNA binding
category16	VanA protein
category16	glycosyl transferase family 2
category16	ORF237
category16	go:0008829 - dCTP deaminase activity
category09	phi:0000011 - phage tail fiber assembly; phi:0000108 - tail fiber chaperon activity
category16	putative TIR domain protein
category07	phi:0000271 - intercellular transfer by conjugation
category16	go:0022618 - ribonucleoprotein complex assembly
category16	outer membrane receptor
category16	PUTATIVE TRANSMEMBRANE PROTEIN
category16	DarA
category01	aclame:579 - Sak4-like recombinase
category16	metal-dependent peptidase
category07	phi:0000271 - intercellular transfer by conjugation; aclame:573 - Type IV secretion complex VirB11 family; phi:0000263 - type IV protein secretion/mating pair formation system complex; phi:0000338 - chaperon activity; go:0016887 - ATPase activity
category07	phi:0000338 - chaperon activity; phi:0000271 - intercellular transfer by conjugation; aclame:573 - Type IV secretion complex VirB11 family; phi:0000263 - type IV protein secretion/mating pair formation system complex; go:0016887 - ATPase activity
category16	go:0008168 - methyltransferase activity
category01	phage integrase/recombinase xerD
category16	Nitrate reductase cytochrome c-type subunit-like protein
category01	aclame:function:498 - IS3 family; phi:0000350 - regulation of DNA transposition
category01	phi:0000350 - regulation of DNA transposition; aclame:function:498 - IS3 family
category16	radical SAM domain protein
category16	deoxyribodipyrimidine photolyase
category16	Y4eD
category12	go:0003690 - double-stranded DNA binding; phi:0000322 - post-segregational killing
category16	Cyclopropane-fatty-acyl-phospholipid synthase
category16	go:0009877 - nodulation
category16	ribosomal protein L7/L12
category04	transporter, FNT family
category02	phi:0000019 - phage DNA maturation; phi:0000074 - phage terminase small subunit; go:0003677 - DNA binding
category16	DNA polymerase
category16	decarboxylase family protein
category16	Tetratricopeptide TPR_2 repeat protein
category16	NAD(+) synthetase
category16	go:0008658 - penicillin binding
category16	PROBABLE HYDROLASE TRANSMEMBRANE PROTEIN
category16	ea59
category01	phi:0000350 - regulation of DNA transposition
category01	phi:0000136 - transpositional DNA recombination; aclame:function:508 - IS66 family
category16	oligoribonuclease
category01	aclame:function:557 - IS5 family; phi:0000153 - DDE-based recombinase activity
category01	phi:0000153 - DDE-based recombinase activity; phi:0000136 - transpositional DNA recombination; aclame:function:557 - IS5 family
category16	histone deacetylase superfamily
category16	hydrolase
category16	anthranilate phosphoribosyltransferase
category16	Alpha-N-arabinofuranosidase
category16	conserved hypothetical protein, possibly membrane-associated
category16	pANL24
category16	methyltransferase 24
category09	phi:0000107 - tail chaperon activity
category16	putative inner membrane protein
category16	beta-glucosidase protein
category16	Afp1
category01	phi:0000130 - homologous DNA recombination; go:0000739 - DNA strand annealing activity
category16	putative O-antigen polymerase
category16	phosphoglucosamine mutase
category16	possible NADH dehydrogenase
category01	phi:0000326 - phage function unknown; aclame:580 - ERF-like recombinase
category16	histidine kinase
category16	phosphoadenosine phosphosulfate reductase
category01	aclame:582 - Gp2.5-like recombinase
category12	aclame:function:544 - TA family epsilon-zeta; phi:0000262 - toxin; phi:0000322 - post-segregational killing
category01	phi:0000326 - phage function unknown; aclame:582 - Gp2.5-like recombinase
category16	PROBABLE LIPOPOLYSACCHARIDE HEPTOSYLTRANSFERASE PROTEIN
category16	S-adenosylmethionine decarboxylase
category09	phi:0000015 - phage tail assembly; phi:0000107 - tail chaperon activity
category16	methyltransferase small
category16	putative PrkA protein kinase
category16	copper amine oxidase domain-containing protein
category16	spermidine synthase
category06	tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase
category01	phi:0000143 - tyrosine-based recombinase activity; phi:0000131 - site-specific DNA recombination; phi:0000304 - plasmid dimer resolution
category06	Threonyl-tRNA synthetase, class IIa
category16	Fe-S cofactor nitrogenase synthesis protein
category16	go:0043764 - UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase activity
category01	go:0000336 - positive regulation of transposition, DNA-mediated; phi:0000031 - transpositional DNA replication; go:0003677 - DNA binding
category16	go:0006315 - homing of group II introns
category01	aclame:function:539 - IS1 family; go:0006313 - transposition, DNA-mediated
category01	aclame:function:539 - IS1 family; go:0006313 - transposition, DNA-mediated; phi:0000136 - transpositional DNA recombination
category16	aclame:function:539 - IS1 family
category01	aclame:function:539 - IS1 family; phi:0000136 - transpositional DNA recombination
category01	phi:0000136 - transpositional DNA recombination; go:0004803 - transposase activity; aclame:function:539 - IS1 family
category16	DNA restriction
category16	ExoV-like protein
category16	Taurine catabolism dioxygenase TauD/TfdA
category16	ribosomal protein
category16	BseRI endonuclease, putative
category03	go:0016491 - oxidoreductase activity; go:0047829 - D-nopaline dehydrogenase activity
category16	phosphoribosylamine--glycine ligase
category16	NrdC.11 conserved hypothetical protein
category16	peptidase T
category16	GCN5-related N-acetyltransferase
category16	go:0006304 - DNA modification
category16	go:0004784 - superoxide dismutase activity
category16	pathogenesis-related protein
category16	putative encapsidation protein
category01	go:0008409 - 5'-3' exonuclease activity; phi:0000129 - DNA recombination
category16	methyl-transferase
category16	phi:0000123 - prohead protease activity; phi:0000017 - phage prohead/capsid assembly; phi:0000065 - capsid scaffolding protein
category16	phi:0000123 - prohead protease activity; phi:0000065 - capsid scaffolding protein; phi:0000017 - phage prohead/capsid assembly
category16	putative type II restriction enzyme, methylase subunit
category16	surface-layer protein
category16	putative response regulator
category16	excinuclease ABC subunit C
category16	prophage, terminase, ATPase subunit, putative
category16	type III restriction enzyme, res subunit
category09	gp36 hinge connector of long tail fiber distal connector
category16	modification methylase, putative
category09	phi:0000331 - phage genome circularization; phi:0000081 - phage tail protein
category16	immunity repressor
category10	phi:0000184 - transcription factor activity; go:0046685 - response to arsenic
category16	ThiJ/PfpI domain protein
category04	go:0045154 - electron transporter, transferring electrons within cytochrome c oxidase complex activity
category16	putative ribosomal-protein-alanine acetyltransferase
category16	phi:0000018 - phage genome packaging
category16	glycosyl transferase, group 1
category16	PROBABLE SIGNAL PEPTIDE PROTEIN
category16	go:0006777 - Mo-molybdopterin cofactor biosynthetic process
category16	TonB-dependent receptor
category01	phi:0000130 - homologous DNA recombination; phi:0000335 - phage mediated modulation of host functions
category16	D14 protein
category16	go:0016021 - integral to membrane
category10	phi:0000047 - post-transcriptional regulation of phage gene expression
category16	Peptidase S8 and S53, subtilisin, kexin, sedolisin
category16	possible hydrolase
category16	go:0009306 - protein secretion; go:0016887 - ATPase activity
category01	phi:0000031 - transpositional DNA replication; phi:0000351 - positive regulation of DNA transposition
category03	phi:0000052 - phage lysogenic conversion; go:0016757 - transferase activity, transferring glycosyl groups
category16	OsmC family protein
category16	ORF187
category01	aclame:578 - Sak-like recombinase
category01	phi:0000326 - phage function unknown; aclame:578 - Sak-like recombinase
category16	bacteriophage f237 ORF8
category16	Ser/Thr protein phosphatase family protein
category04	go:0005215 - transporter activity; go:0042493 - response to drug
category12	go:0005215 - transporter activity; go:0050787 - detoxification of mercury ion
category16	phosphoenolpyruvate synthase-related protein
category16	flagellar biosynthesis, cell-distal portion of basal-body rod
category16	phosphoribosylaminoimidazole carboxylase, catalytic subunit
category16	CRISPR-associated helicase Cas3, core
category16	DNA modification methylase
category16	purine nucleoside phosphorylase
category16	crossover junction endodeoxyribonuclease
category16	ADP-ribosylglycohydrolase
category16	beta-lactamase domain-containing protein
category16	conserved bacterial protein
category04	go:0043190 - ATP-binding cassette (ABC) transporter complex
category16	G I protein
category16	Methyltransferase FkbM
category16	glycosyl transferase, family 25
category16	YagA-like protein
category16	protein of unknown function DUF23
category16	Afp11
category16	gp7
category16	moaA/nifB/pqqE family protein
category01	aclame:580 - ERF-like recombinase
category16	Parvulin-like peptidyl-prolyl isomerase
category16	prophage Lp2 protein 4
category08	go:0034290 - holin activity; phi:0000013 - phage release by lysis
category10	putative Sir2-like transcriptional silencer protein
category16	aclame:function:499 - IS4 family
category10	phi:0000044 - transcriptional-regulation of phage gene expression; phi:0000002 - phage infectious cycle
category16	putative CreA family protein
category02	phi:0000018 - phage genome packaging; phi:0000074 - phage terminase small subunit; go:0003677 - DNA binding
category16	protein of unknown function DUF985
category16	fumarate hydratase
category16	phenylacetate-CoA oxygenase, PaaJ subunit
category16	PSP1 domain-containing protein
category16	prohead protease protein
category16	hypothetical protein ORF055
category03	go:0016491 - oxidoreductase activity; go:0004497 - monooxygenase activity
category16	DNA repair protein RecN
category08	Lytic transglycosylase, catalytic
category16	phi:0000069 - phage head/capsid decoration protein; phi:0000010 - phage head/capsid assembly
category09	gp12 short tail fibers
category16	phi:0000017 - phage prohead/capsid assembly; phi:0000065 - capsid scaffolding protein; phi:0000123 - prohead protease activity
category16	Glutathione synthase
category16	phi:0000004 - phage adsorption
category16	replication protein
category16	hypothetical protein YeeJ
category16	UDP-N-acetylglucosamine pyrophosphorylase-related protein
category16	DNA polymerase subunit
category16	gp3
category02	phi:0000074 - phage terminase small subunit; go:0003677 - DNA binding
category16	Cupin 2 conserved barrel domain protein
category08	phi:0000013 - phage release by lysis; phi:0000345 - Rz-type spanin component
category08	phi:0000345 - Rz-type spanin component; phi:0000013 - phage release by lysis
category16	protector from prophage-induced early lysis
category16	phi:0000318 - plasmid fertility inhibition
category16	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
category16	peptidoglycan-binding LysM
category06	MiaB-like tRNA modifying enzyme YliG
category10	phi:0000038 - phage class III gene transcription; phi:0000040 - phage transcription anti termination
category16	putative nicotinamide phosphoribosyl transferase
category16	Phage protein
category16	virion structural protein
category16	putative holin
category16	ea31
category12	phi:0000322 - post-segregational killing; phi:0000262 - toxin
category16	HK97 family phage protein
category16	Gp31 protein
category16	putative protein 2
category16	cpp11
category04	TRAP transporter solute receptor, TAXI family
category16	protein of unknown function DUF805
category16	putative DNA primase
category16	collagenase ColT
category16	putative membrane-associated protein
category12	aclame:574 - TA family HicAB; phi:0000322 - post-segregational killing
category16	Predicted regulator of stationary/sporulation gene expression
category16	molybdenum cofactor synthesis domain
category16	protein of unknown function DUF72
category16	putative nudix hydrolase
category07	go:0008932 - lytic endotransglycosylase activity; phi:0000263 - type IV protein secretion/mating pair formation system complex; phi:0000271 - intercellular transfer by conjugation
category16	putative chromosome segregation ATPase
category16	putative terminase small subunit
category16	putative Fe-S oxidoreductase
category16	protein of unknown function DUF1130
category16	membrane-bound metal-dependent hydrolase
category16	putative NHN endonuclease
category16	putative portal protein
category16	phi:0000345 - Rz-type spanin component; phi:0000326 - phage function unknown
category16	gp43
category01	go:0004527 - exonuclease activity; phi:0000129 - DNA recombination
category01	go:0004527 - exonuclease activity; phi:0000130 - homologous DNA recombination
category01	phi:0000130 - homologous DNA recombination
category16	phi:0000073 - phage terminase large subunit; phi:0000019 - phage DNA maturation; go:0016887 - ATPase activity
category16	bidirectional terminator
category16	gp30
category16	Probable carbonic anhydrase, Cah
category16	prophage ps1 protein 20
category16	Protein of unknown function DUF1810
category07	phi:0000271 - intercellular transfer by conjugation; aclame:568 - Type IV secretion complex VirB6 family
category16	possible dioxygenase
category16	hypothetical protein, pXO1-70, interruption-C
category16	RB69ORF050c hypothetical protein
category16	putative 4'-phosphopantetheinyl transferase
category16	DNA primase related protein
category16	Allergen V5/Tpx-1 related
category16	Nucleotide binding protein, PINc
category16	phi:0000078 - post DNA injected protein; phi:0000064 - phage head/capsid protein; phi:0000008 - phage DNA translocation
category16	ORF232
category09	major tail protein
category16	gp33
category16	putative phage replicative DNA helicase
category16	helix-turn-helix domain-containing protein
category16	sensor histidine kinase-like protein
category16	fusion protein (includes pXO2-28-29-30)
category16	putative transmembrane protein
category16	RB69ORF052c hypothetical protein
category16	phi:0000098 - anti holin activity
category09	phi:0000081 - phage tail protein; phi:0000004 - phage adsorption
category16	gp17
category16	NudE nudix hydrolase
category04	electron transport complex, RnfABCDGE type, D subunit
category16	putative type III restriction-modification enzyme
category16	gp239
category16	gp15
category09	phi:0000081 - phage tail protein
category16	putative major head protein
category16	HAD-superfamily hydrolase subfamily IIB
category16	go:0046404 - ATP-dependent polydeoxyribonucleotide 5'-hydroxyl-kinase activity
category16	DnaJ-like protein
category16	conserved hypothetical phage-related protein
category16	gp81
category12	phi:0000262 - toxin; phi:0000322 - post-segregational killing; aclame:function:549 - TA family relBE
category10	prophage LambdaCh01, PBSX family transcriptional regulator
category12	phi:0000184 - transcription factor activity; go:0050787 - detoxification of mercury ion
category16	M27/M37 peptidase
category16	gp155
category16	l15
category16	e15
category16	putative reverse transcriptase
category16	cell wall binding repeat-containing protein
category04	ferrous iron transport protein B
category16	Wac fibritin neck whiskers
category16	phage virion protein
category16	BcepGomrgp55
category16	Holliday junction endonuclease
category16	Molybdenum cofactor biosynthesis enzyme
category16	hypothetical protein CtheDRAFT_1029
category16	glycogen synthase
category16	regulatory protein, MerR
category16	Fructose-bisphosphate aldolase class I
category02	go:0006270 - DNA replication initiation; phi:0000024 - phage genome replication
category02	phi:0000024 - phage genome replication; go:0006270 - DNA replication initiation
category16	phi:0000077 - pre DNA injected protein; phi:0000064 - phage head/capsid protein; phi:0000008 - phage DNA translocation
category16	gp22
category16	acetyltransferase
category16	phi:0000335 - phage mediated modulation of host functions
category16	l18
category16	go:0009297 - pilus biogenesis; go:0016407 - acetyltransferase activity
category16	phi:0000010 - phage head/capsid assembly; phi:0000069 - phage head/capsid decoration protein
category16	helix-turn-helix/TPR domain protein
category16	Sea11
category07	go:0003896 - DNA primase activity; phi:0000263 - type IV protein secretion/mating pair formation system complex; go:0008933 - lytic transglycosylase activity; aclame:563 - Type IV secretion complex VirB1 family
category07	phi:0000263 - type IV protein secretion/mating pair formation system complex; go:0008933 - lytic transglycosylase activity; aclame:563 - Type IV secretion complex VirB1 family; go:0003896 - DNA primase activity
category16	gp9, Cpp15
category16	DNA-binding protein, putative
category16	possible DNA repair exonuclease
category01	recombinase
category04	ABC-type branched-chain amino acid transport systems periplasmic component-like protein
category16	ORF031
category16	adenine phosphoribosyltransferase protein
category16	Predicted secreted metalloprotease
category16	gp53
category16	phi:0000065 - capsid scaffolding protein; phi:0000017 - phage prohead/capsid assembly; phi:0000123 - prohead protease activity
category02	go:0003899 - DNA-directed RNA polymerase activity
category16	gp26
category16	gp23
category16	phosphohydrolase
category02	go:0000727 - double-strand break repair via break-induced replication; go:0003677 - DNA binding
category16	glycoside hydrolase, family 39
category16	gp162
category16	gp35
category16	23S rRNA pseudouridine synthase E
category16	EpsJ
category16	Sulphohydrolase/Glycosulfatase, Zn-dependent hydrolase
category16	putative teichoic acid glycosylation protein
category16	gp54
category16	phi:0000335 - phage mediated modulation of host functions; phi:0000171 - host cell killing activity
category16	phi:0000064 - phage head/capsid protein
category16	e31
category10	phi:0000048 - negative transcriptional regulation of phage gene expression; phi:0000002 - phage infectious cycle
category16	go:0043683 - type IV pilus biogenesis
category02	phi:0000026 - phage DNA replication; go:0006273 - lagging strand elongation
category16	head size determination protein sid
category16	PacA
category16	conserved phage-related protein
category07	phi:0000263 - type IV protein secretion/mating pair formation system complex; phi:0000271 - intercellular transfer by conjugation
category16	PROBABLE 1-AMINOCYCLOPROPANE-1-CARBOXYLATE OXIDASE (ACC OXIDASE) OXIDOREDUCTASE PROTEIN
category16	putative ribonucleotide reductase
category16	PmgS
category16	phi:0000335 - phage mediated modulation of host functions; phi:0000163 - inhibitor of RecBCD nuclease
category16	BplA
category16	gp6
category16	phi:0000134 - site-specific DNA excision; phi:0000122 - excisionase activity
category16	gp1
category07	phi:0000267 - type III protein secretion system complex; go:0016887 - ATPase activity
category16	putative rolling circle replication protein
category16	O-antigen modification protein
category16	putative methyltransferase
category16	neutral protease
category10	NMN adenylyl transferase and transcriptional regulator
category04	go:0010038 - response to metal ion; go:0015562 - efflux transmembrane transporter activity
category16	mobilization protein
category16	hypothetical protein YPMT1.23c
category16	SMC protein-like
category16	gp5
category16	putative replicative DNA helicase
category16	antireceptor
category16	gene II product
category16	cell surface glycoprotein
category12	go:0015643 - toxin binding; phi:0000322 - post-segregational killing; aclame:function:546 - TA family mazEF
category16	gp248
category16	gp74
category16	Cysteine protease
category16	go:0009236 - cobalamin biosynthetic process
category16	amino acid (ornithine, lysine, arginine) decarboxylase, probable
category16	gp28
category16	probable UV endonuclease
category10	go:0045449 - regulation of transcription
category10	go:0003700 - transcription factor activity; phi:0000049 - positive transcriptional regulation of phage gene expression
category10	phi:0000049 - positive transcriptional regulation of phage gene expression; go:0003700 - transcription factor activity
category16	gp32
category16	gp59
category16	gp16
category16	adenosyl cobinamide kinase (Cobalamin-5-phosphate synthase)
category16	Protein of unknown function DUF1971
category16	phi:0000186 - minor capsid structural protein
category12	phi:0000262 - toxin; phi:0000322 - post-segregational killing; aclame:function:562 - TA family HOK/SOK
category10	go:0031564 - transcription antitermination
category16	hyaluronate lyase
category16	HNH endonuclease
category16	PROBABLE VANILLATE O-DEMETHYLASE OXYGENASE SUBUNIT OXIDOREDUCTASE PROTEIN
category16	possible ATP-binding protease, Clp family
category16	putative acetylase
category16	SpoVR
category16	phosphatidylserine decarboxylase
category16	putative single stranded DNA binding protein
category16	MobE homing endonuclease
category16	40-residue YVTN family beta-propeller repeat protein
category10	phi:0000134 - site-specific DNA excision; phi:0000048 - negative transcriptional regulation of phage gene expression; phi:0000122 - excisionase activity
category07	phi:0000272 - type IV secretion system coupling protein
category16	PROBABLE DNA-3-METHYLADENINE GLYCOSYLASE I PROTEIN
category16	go:0016740 - transferase activity; go:0042493 - response to drug
category10	phi:0000036 - phage class II gene transcription; phi:0000049 - positive transcriptional regulation of phage gene expression
category16	Possible beta-xylosidase diverged, family 5/39 of glycosyl hydrolases and alpha-amylase C (Greek key) C-terminal domain
category16	e30
category16	phi:0000122 - excisionase activity; phi:0000134 - site-specific DNA excision
category10	transcriptional regulator, MarR family
category16	Gp12 protein
category16	protelomerase
category16	HypE
category16	go:0016852 - sirohydrochlorin cobaltochelatase activity
category16	Uncharacterized Fe-S protein
category16	phospholipase/Carboxylesterase
category16	Pro
category16	gp82
category16	prevent-host-death family protein
category10	phi:0000043 - negative regulation of phage replication; go:0016564 - transcription repressor activity
category16	acetyltransferase, GNAT family
category16	MazG nucleotide pyrophosphohydrolase
category16	Prt
category16	e14
category16	go:0042493 - response to drug
category16	Gp32 protein
category16	DLP12 prophage; predicted protein
category16	phi:0000024 - phage genome replication
category16	alpha-glucosidase
category16	phi:0000069 - phage head/capsid decoration protein
category16	hypothetical protein ORF001
category16	Phenylacetic acid degradation-related protein
category12	aclame:function:545 - TA family higBA; phi:0000322 - post-segregational killing; phi:0000262 - toxin
category16	gp45
category16	thiamine-phosphate pyrophosphorylase
category02	phi:0000074 - phage terminase small subunit; phi:0000018 - phage genome packaging; go:0003677 - DNA binding
category16	phi:0000173 - major capsid structural protein
category16	l14
category16	hypothetical protein BSU05780
category10	phi:0000049 - positive transcriptional regulation of phage gene expression; phi:0000055 - establishment as an integrated prophage
category16	bacteriophage protein
category16	gp14
category16	gp107
category16	Inorganic pyrophosphatase
category16	DNA-binding protein
category16	putative cobalamin synthesis protein
category08	phi:0000342 - spanin; phi:0000013 - phage release by lysis
category16	gp19
category16	putative deoxyribonuclease
category16	NH2-acetyltransferase
category16	putative transglycosylase
category16	GALA PROTEIN 1
category16	endolysin
category16	gp41
category16	Phage putative head morphogenesis protein, SPP1 gp7
category16	e14 prophage; 5-methylcytosine-specific restriction endonuclease B
category16	gp30.3 conserved hypothetical protein
category16	putative cell division protein FtsA
category09	phage head-tail adaptor, putative
category16	hypothetical protein ORF003
category16	go:0048476 - Holliday junction resolvase complex
category16	Mat
category16	gp9
category16	gp136
category16	possible transposase
category16	enhancin family protein
category16	nonstructural protein
category16	ORF038
category16	go:0046677 - response to antibiotic; go:0008800 - beta-lactamase activity
category16	holin
category16	putative bacteriophage protein
category16	gp110
category16	DNA polymerase B2
category16	gp96
category16	putative single-strand DNA binding protein
category16	putative DNA helicase II / ATP-dependent DNA helicase PcrA
category16	putative protease
category16	ORF013
category16	Pas43
category01	putative integrase/recombinase
category16	phosphoribulokinase/uridine kinase
category16	gp13
category16	prophage LambdaCh01, portal protein
category16	Gp62
category16	C1.100
category16	gp85
category16	PmgB
category16	similar to bacteriophage SPP1 ORF37.1 product
category16	Peptidoglycan-binding LysM
category16	go:0006417 - regulation of translation
category16	e14 prophage; predicted protein
category09	T7-like tail fiber
category16	gp129
category16	RepL
category16	gp24
category16	head fiber protein
category16	SecC motif-containing protein
category16	TPR, tetratricopeptide repeat domain
category16	Lpa
category16	gp55, hypothetical protein
category16	ORF049
category16	ENDOGLUCANASE PRECURSOR (ENDO-1,4-BETA-GLUCANASE) PROTEIN
category16	gp128
category16	Possible steroid binding protein
category16	prolipoprotein diacylglyceryl transferase
category16	P4 phage protein
category16	putative atp/gtp-binding protein
category16	OSJNBa0044K18.12
category16	oxidoreductase FAD/NAD(P)-binding domain protein
category16	glycosyl hydrolase, BNR repeat-containing protein
category16	e26
category16	peptidase M42 family protein
category16	putative ATPase
category16	PmgQ
category16	nucleoside 2-deoxyribosyltransferase
category16	Ref
category16	Orf-87
category16	Ulx
category16	hypothetical protein predicted by GeneMark
category16	hypothetical protein with parallel beta-helix repeat
category16	Similar to Bacillus virus 1 protein YP_001425590
category16	dephospho-CoA kinase
category16	m1
category16	DNA binding protein
category16	N-methyltransferase homolog
category16	e24
category16	PmgG
category16	Xylanase, glycosyl hydrolase family 10
category16	go:0016021 - integral to membrane; phi:0000355 - phage entry exclusion
category16	gpB
category16	NlpC/P60 family phage cell wall peptidase
category16	m2
category16	S23 ribosomal
category16	ORF122
category16	Cro-like protein
category16	gp31.1 conserved hypothetical protein
category16	ribonuclease D
category16	Tub
category16	PdcA
category09	minor tail protein
category16	ORF034
category16	putative outer membrane protein
category16	m4
category16	Rac prophage; phage superinfection exclusion protein
category16	hypothetical protein ORF039
category16	phosphomethylpyrimidine kinase
category16	phospholipase, patatin family
category16	Glu/Leu/Phe/Val dehydrogenase, C terminal:Glu/Leu/Phe/Val dehydrogenase, dimerization region
category16	RB69ORF051c hypothetical protein
category09	phi:0000067 - phage portal associated protein
category16	gene V product
category16	putative C5 methylase MarMP
category10	go:0016563 - transcription activator activity; phi:0000049 - positive transcriptional regulation of phage gene expression
category10	phi:0000049 - positive transcriptional regulation of phage gene expression
category12	aclame:function:545 - TA family higBA; phi:0000262 - toxin; phi:0000322 - post-segregational killing
category16	e29
category16	mannonate dehydratase
category16	possible excinuclease ABC subunit
category16	go:0030258 - lipid modification; go:0034202 - glycolipid-translocating activity
category16	l10
category16	gpR
category16	putative Cro-like protein
category16	virion RNA polymerase
category16	BplB
category16	rb117
category16	pyrroline-5-carboxylate reductase
category16	Cps
category16	Hyaluronidase
category16	go:0008473 - ornithine cyclodeaminase activity
category16	ERCC4
category16	peptidase U32
category16	gp123
category10	transcriptional regulator CII, putative
category16	UpfB
category16	putative DNA double-strand break repair
category16	putative thymidylate synthase
category16	l9
category16	go:0009405 - pathogenesis
category16	IsaA
category08	phi:0000013 - phage release by lysis; phi:0000099 - holin activity
category16	ORF076
category16	gp69
category16	unknown protein encoded within CP-933O
category16	acyl-CoA-6-aminopenicillanic acid acyltransferase
category16	HlyF
category01	putative integrase
category16	PmgA
category16	ORF011
category16	DNA polymerase beta subunit
category16	PROBABLE DIHYDRONEOPTERIN ALDOLASE PROTEIN
category16	Dbn
category16	Vs.1 conserved hypothetical protein
category16	PmgC
category16	Phosphoglycerate mutase
category16	membrane spanning protein
category16	gp205
category16	RnlA
category16	ribonucleotide reductase alpha subunit
category16	PmgP
category16	putative atp/gtp-binding protein, mmyk
category09	phage portal protein, SPP1 Gp6-like protein
category16	putative fucosidase
category16	go:0009003 - signal peptidase activity
category16	G VI capsid protein
category16	isopentenyl-diphosphate delta-isomerase, type 1
category16	lipase
category16	gp46
category16	Peptidoglycan-binding domain 1 protein
category16	Abortive infection protein
category16	hypothetical protein of possible phage origin
category16	l8
category16	hypothetical protein ORF015
category16	Frd.1 conserved hypothetical protein
category16	PpfA
category16	Succinylglutamate desuccinylase/aspartoacylase
category16	gp39
category16	phi:0000063 - prophage DNA excision; phi:0000122 - excisionase activity
category16	gp44 clamp-loader subunit
category16	major capsid (head) protein
category16	gene 34 protein
category16	go:0008233 - peptidase activity
category16	putative regulator
category16	CDP-diacylglycerol--serine O-phosphatidyltransferase
category16	e10
category16	LysA
category10	phi:0000043 - negative regulation of phage replication; phi:0000048 - negative transcriptional regulation of phage gene expression
category10	phi:0000035 - phage class I gene transcription; phi:0000049 - positive transcriptional regulation of phage gene expression; go:0030401 - transcription antiterminator activity
category16	phi:0000346 - Rz1-type spanin component
category16	Gp43
category10	cell envelope-related transcriptional attenuator
category16	ATP-dependent Clp protease adaptor protein ClpS
category16	C8
category16	putative protein involved in nitrogen fixation
category16	capsid protein
category16	e4
category16	37
category16	gp24 head vertex protein
category16	gp80
category16	RC187
category16	putative guanylate kinase
category16	IucD
category08	go:0016564 - transcription repressor activity; phi:0000048 - negative transcriptional regulation of phage gene expression; phi:0000372 - phage lytic cycle
category16	gp70
category16	trigger factor
category16	Stage II sporulation E family protein
category16	protease/scaffold
category16	HNH nuclease
category16	rb151
category10	XRE family transcriptional regulator
category16	transaldolase
category16	Orf2
category16	putative cell division protein FtsW
category16	putative TraG protein
category16	peptidase S8 and S53 subtilisin kexin sedolisin
category16	CRISPR-associated protein, Cas2
category16	DNA-binding excisionase-like protein
category16	protein of unknown function DUF1680
category16	gp76
category16	gp50
category16	ORF47
category16	Cra
category16	Lxc
category16	phi:0000324 - plasmid mobilization
category16	Putative DNA methylase
category16	gp57
category16	protein of unknown function DUF955
category10	pyocin R2_PP, transcriptional activator prtN
category09	major tail shaft subunit
category16	putative helicase
category09	putative tail fiber protein
category16	glycosyltransferase
category16	CRISPR-associated protein Cas1
category16	internal virion protein C
category16	gene 22 protein
category16	LydA
category16	putative flagellin protein
category16	putative phage associated protein
category16	lipoprotein, putative
category04	go:0015446 - arsenite transmembrane-transporting ATPase activity
category16	G VIII capsid protein precursor
category16	fumarate reductase/succinate dehydrogenase flavoprotein domain protein
category16	HdeC
category16	gp40
category16	putative repressor
category16	gp191
category16	bacterial conjugation protein
category16	gp28, hypothetical protein
category16	e28
category16	putative transnmembrane protein
category09	possible T4-like proximal tail fiber
category16	3-octaprenyl-4-hydroxybenzoate carboxy-lyase
category16	L-serine dehydratase 1
category16	ATP-dependent serine Clp protease
category16	RnlB RNA ligase 2
category16	putative neutral zinc metallopeptidase
category16	endonuclease
category16	stage II sporulation protein p
category16	hypothetical protein ORF048
category16	gp44
category04	probable amino acid ABC transporter, substrate-binding protein, lipoprotein YaeC family
category16	gene 3 product
category16	gp78
category16	beta-fructofuranosidase protein
