Family	ACLAME.Function.s.
family:all:6210	Bcep22gp02
family:all:621	go:0016787 - hydrolase activity
family:all:6209	unknown
family:all:6208	unknown
family:all:6207	transposon protein C
family:all:6206	conserved hypothetical membrane protein, biphenyl pathway
family:all:6205	cytochrome subunit p-cresol methylhydroxylase
family:all:6204	BlsB
family:all:6203	lipoprotein TraH
family:all:6202	unknown
family:all:6201	TraA
family:all:6200	unknown
family:all:620	phi:0000358 - relaxosome assembly
family:all:62	go:0008236 - serine-type peptidase activity; phi:0000017 - phage prohead/capsid assembly
family:all:62	phi:0000017 - phage prohead/capsid assembly; go:0008236 - serine-type peptidase activity; phi:0000123 - prohead protease activity
family:all:62	go:0008236 - serine-type peptidase activity; phi:0000123 - prohead protease activity; phi:0000017 - phage prohead/capsid assembly
family:all:6199	transfer complex protein TraO
family:all:6198	putative regulator of transfer genes ArtA
family:all:6197	unknown
family:all:6196	unknown
family:all:6195	unknown
family:all:6194	unknown
family:all:6193	unknown
family:all:6192	Hypothetical protein
family:all:6191	unknown
family:all:6190	go:0003677 - DNA binding
family:all:619	aclame:function:544 - TA family epsilon-zeta; phi:0000262 - toxin; phi:0000322 - post-segregational killing
family:all:6189	botulinum neurotoxin type C1 nontoxic-nonhemagglutinin component
family:all:6188	transcriptional regulator, TetR family
family:all:6187	mycinamicin resistance protein homolog MyrA
family:all:6186	VanY protein
family:all:6185	VanX protein
family:all:6184	YHS domain protein
family:all:6183	unknown
family:all:6182	unknown
family:all:6181	unknown
family:all:6180	protein of unknown function DUF477
family:all:618	go:0008409 - 5'-3' exonuclease activity
family:all:6179	protein of unknown function DUF477
family:all:6178	LemA family protein
family:all:6177	putative TniQ-like transposition protein
family:all:6176	unknown
family:all:6175	probable signal peptide protein
family:all:6174	putative oxidoreductase
family:all:6173	hypothetical protein, mmyj
family:all:6172	hypothetical protein, bleomycin resistance protein family
family:all:6171	peptidase M50
family:all:6170	unknown
family:all:617	go:0048476 - Holliday junction resolvase complex
family:all:6169	coenzyme PQQ biosynthesis protein B
family:all:6168	coenzyme PQQ biosynthesis protein C
family:all:6167	coenzyme PQQ synthesis D
family:all:6166	response regulator receiver protein
family:all:6165	rare lipoprotein A rlpa
family:all:6164	unknown
family:all:6163	gp21, tail fiber protein
family:all:6162	phi:0000271 - intercellular transfer by conjugation; aclame:568 - Type IV secretion complex VirB6 family
family:all:6161	OsmC family protein
family:all:6160	unknown
family:all:616	phi:0000326 - phage function unknown
family:all:6159	unknown
family:all:6158	probable nutrient deprivation-induced protein
family:all:6157	Glutathione synthase
family:all:6156	endo-beta-1,3-1,4-glycanase protein
family:all:6155	peptidase M42 family protein
family:all:6154	YidE/YbjL duplication domain protein
family:all:6153	YpkK
family:all:6152	tellurite resistance protein
family:all:6151	PROBABLE LIPOPROTEIN SIGNAL PEPTIDE
family:all:6150	Isoleucyl-tRNA synthetase, mupirocin resistant protein
family:all:615	phi:0000326 - phage function unknown
family:all:6149	probable replicating protein RepA
family:all:6148	protein of unknown function (DUF1470)
family:all:6147	unknown
family:all:6146	unknown
family:all:6145	aspartate 1-decarboxylase
family:all:6144	phi:0000184 - transcription factor activity
family:all:6143	NADH-ubiquinone oxidoreductase, chain 4L
family:all:6142	NADH-ubiquinone/plastoquinone oxidoreductase chain 6
family:all:6141	putative extracellular serine protease
family:all:6140	ENDOGLUCANASE PRECURSOR (ENDO-1,4-BETA-GLUCANASE) PROTEIN
family:all:614	phi:0000326 - phage function unknown
family:all:6139	unknown
family:all:6138	ORF69
family:all:6137	unknown
family:all:6136	3-isopropylmalate dehydratase small subunit
family:all:6135	unknown
family:all:6134	unknown
family:all:6133	unknown
family:all:6132	unknown
family:all:6131	unknown
family:all:6130	unknown
family:all:613	go:0003700 - transcription factor activity
family:all:613	phi:0000049 - positive transcriptional regulation of phage gene expression; go:0003700 - transcription factor activity
family:all:613	go:0003700 - transcription factor activity; phi:0000049 - positive transcriptional regulation of phage gene expression
family:all:6129	unknown
family:all:6128	protein of unknown function DUF378
family:all:6127	putative extracellular serine protease
family:all:6126	unknown
family:all:6125	unknown
family:all:6124	unknown
family:all:6123	unknown
family:all:6122	Tetratricopeptide TPR_2 repeat protein
family:all:6121	unknown
family:all:6120	Malate synthase
family:all:612	phi:0000178 - phage minor tail protein
family:all:6119	protein A
family:all:6118	phi:0000271 - intercellular transfer by conjugation
family:all:6117	pheromone shutdown protein TraB
family:all:6116	PrgU
family:all:6115	PcfN
family:all:6114	PcfZ
family:all:6113	unknown
family:all:6112	Hypothetical secreted protein
family:all:6111	unknown
family:all:6110	Orf9
family:all:611	phi:0000326 - phage function unknown
family:all:6109	Orf10
family:all:6108	unknown
family:all:6107	Cupin 2, conserved barrel domain protein
family:all:6106	unknown
family:all:6105	cytochrome c5
family:all:6104	nitrite reductase heme biosynthesis D/L protein, putative
family:all:6103	NG,NG-dimethylarginine dimethylaminohydrolase, putative
family:all:6102	unknown
family:all:6101	unknown
family:all:6100	VirB7
family:all:610	phi:0000326 - phage function unknown
family:all:61	go:0016491 - oxidoreductase activity
family:all:6099	phi:0000326 - phage function unknown
family:all:6098	unknown
family:all:6097	transposase
family:all:6096	unknown
family:all:6095	Ycg4L
family:all:6094	unknown
family:all:6093	putative ATPase
family:all:6092	unknown
family:all:6091	unknown
family:all:6090	homolog to transcription regulator
family:all:609	go:0016829 - lyase activity
family:all:6089	unknown
family:all:6088	unknown
family:all:6087	unknown
family:all:6086	unknown
family:all:6085	putative regulatory protein
family:all:6084	CcgEIII
family:all:6083	ArdR
family:all:6082	unknown
family:all:6081	KorA
family:all:6080	TraM
family:all:608	phi:0000326 - phage function unknown
family:all:6079	TraK
family:all:6078	putative leader peptide RepB
family:all:6077	unknown
family:all:6076	putative transmembrane protein
family:all:6075	Cji
family:all:6074	unknown
family:all:6073	cytidine deaminase
family:all:6072	unknown
family:all:6071	unknown
family:all:6070	unknown
family:all:607	go:0009008 - DNA-methyltransferase activity
family:all:6069	unknown
family:all:6068	pANL31
family:all:6067	pANL24
family:all:6066	unknown
family:all:6065	polysaccharide inhibition protein
family:all:6064	unknown
family:all:6063	anthranilate phosphoribosyltransferase
family:all:6062	unknown
family:all:6061	MSL
family:all:6060	unknown
family:all:606	phi:0000263 - type IV protein secretion/mating pair formation system complex; phi:0000271 - intercellular transfer by conjugation
family:all:6059	unknown
family:all:6058	ORF sigma
family:all:6057	unknown
family:all:6056	outer surface protein D
family:all:6055	Protein containing ATP/GTP-binding site motif A
family:all:6054	putative DNA-binding protein
family:all:6053	unknown
family:all:6052	ORF III
family:all:6051	phosphatidylserine decarboxylase
family:all:6050	go:0016491 - oxidoreductase activity
family:all:605	go:0009289 - fimbrium
family:all:6049	Uncharacterised conserved protein UCP032146
family:all:6048	molybdopterin-guanine dinucleotide biosynthesis protein B
family:all:6047	CheD, stimulates methylation of MCP proteins
family:all:6046	unknown
family:all:6045	glycosyl transferase, family 25
family:all:6044	Beta-galactosidase
family:all:6043	putative transmembrane protein
family:all:6042	unknown
family:all:6041	putative spread gene
family:all:6040	putative spread gene
family:all:604	go:0003724 - RNA helicase activity
family:all:604	go:0003678 - DNA helicase activity
family:all:6039	unknown
family:all:6038	unknown
family:all:6037	unknown
family:all:6036	Protein containing ATP/GTP-binding site motif A
family:all:6035	unknown
family:all:6034	unknown
family:all:6033	unknown
family:all:6032	unknown
family:all:6031	putative dna-binding protein, mmyb
family:all:6030	unknown
family:all:603	phi:0000322 - post-segregational killing; aclame:function:550 - TA family vapBC/vag; go:0015643 - toxin binding
family:all:6029	unknown
family:all:6028	putative transcriptional regulator, TetR-family
family:all:6027	unknown
family:all:6026	unknown
family:all:6025	unknown
family:all:6024	unknown
family:all:6023	unknown
family:all:6022	unknown
family:all:6021	subunit of meta cleavage enzyme
family:all:6020	unknown
family:all:602	go:0046138 - coenzyme and prosthetic group biosynthetic process
family:all:6019	unknown
family:all:6018	unknown
family:all:6017	unknown
family:all:6016	unknown
family:all:6015	unknown
family:all:6014	unknown
family:all:6013	go:0016787 - hydrolase activity
family:all:6012	bacterio-opsin activator-like protein
family:all:6011	unknown
family:all:6010	phosphoadenosine phosphosulfate reductase
family:all:601	phi:0000333 - plasmid function unknown
family:all:6009	unknown
family:all:6008	putative integral membrane protein
family:all:6007	unknown
family:all:6006	CdsN
family:all:6005	CdsL
family:all:6004	CdsI
family:all:6003	CdsH
family:all:6002	CdsG
family:all:6001	CdsF
family:all:6000	unknown
family:all:600	phi:0000326 - phage function unknown
family:all:600	phi:0000333 - plasmid function unknown
family:all:60	phi:0000326 - phage function unknown
family:all:60	phi:0000175 - capsid tail fiber
family:all:60	go:0008237 - metallopeptidase activity
family:all:6	go:0016887 - ATPase activity
family:all:6	go:0016887 - ATPase activity; go:0030541 - plasmid partitioning
family:all:5999	unknown
family:all:5998	putative transnmembrane protein
family:all:5997	unknown
family:all:5996	unknown
family:all:5995	gp67, conserved domain protein
family:all:5994	phi:0000326 - phage function unknown
family:all:5993	unknown
family:all:5992	unknown
family:all:5991	phi:0000333 - plasmid function unknown
family:all:5990	unknown
family:all:599	go:0046690 - response to tellurium ion
family:all:5989	unknown
family:all:5988	phi:0000184 - transcription factor activity
family:all:5987	unknown
family:all:5986	go:0003896 - DNA primase activity
family:all:5985	Orf3
family:all:5984	Orf8
family:all:5983	unknown
family:all:5982	unknown
family:all:5981	unknown
family:all:5980	protein of unknown function DUF6, transmembrane
family:all:598	go:0009405 - pathogenesis
family:all:5979	histidyl-tRNA synthetase
family:all:5978	conserved hypothetical protein found in conjugate transposon TraN
family:all:5977	conserved hypothetical protein found in conjugate transposon TraM
family:all:5976	unknown
family:all:5975	HoxO
family:all:5974	HoxV
family:all:5973	unknown
family:all:5972	DNA topology modulation kinase FlaR, putative
family:all:5971	putative GTPase EngC precursor
family:all:5970	protein of unknown function DUF190
family:all:597	go:0016829 - lyase activity
family:all:5969	deoxyribose-phosphate aldolase
family:all:5968	unknown
family:all:5967	unknown
family:all:5966	Asparaginase
family:all:5965	Sulphur oxidation protein SoxZ
family:all:5964	unknown
family:all:5963	phi:0000267 - type III protein secretion system complex
family:all:5962	dehydrogenase, putative
family:all:5961	magnesium transporter MgtE, putative
family:all:5960	go:0046138 - coenzyme and prosthetic group biosynthetic process
family:all:596	phi:0000333 - plasmid function unknown
family:all:5959	unknown
family:all:5958	sigma-B regulator RsbR
family:all:5957	probable nutrient deprivation-induced protein
family:all:5956	nitrogen regulatory protein P-II (GlnB, GlnK)
family:all:5955	unknown
family:all:5954	chromosome partitioning ATPase
family:all:5953	unknown
family:all:5952	hypothetical cytosolic protein
family:all:5951	hypothetical membrane spanning protein
family:all:5950	Rv0623-like transcription factor
family:all:595	go:0016740 - transferase activity
family:all:5949	hypothetical membrane spanning protein
family:all:5948	hypothetical cytosolic protein
family:all:5947	hypothetical cytosolic protein
family:all:5946	hypothetical membrane spanning protein
family:all:5945	hypothetical cytosolic protein
family:all:5944	hypothetical cytosolic protein
family:all:5943	hypothetical membrane spanning protein
family:all:5942	hypothetical cytosolic protein
family:all:5941	unknown
family:all:5940	hypothetical cytosolic protein
family:all:594	phi:0000052 - phage lysogenic conversion
family:all:594	go:0051276 - chromosome organization and biogenesis
family:all:5939	unknown
family:all:5938	unknown
family:all:5937	putative DNA binding protein
family:all:5936	14.5 kDa protein
family:all:5935	unknown
family:all:5934	unknown
family:all:5933	glycosyl transferase family 39
family:all:5932	unknown
family:all:5931	PhaK-like protein
family:all:5930	unknown
family:all:593	go:0050787 - detoxification of mercury ion
family:all:5929	unknown
family:all:5928	unknown
family:all:5927	unknown
family:all:5926	unknown
family:all:5925	PUTATIVE BIOTIN CARBOXYL CARRIER PROTEIN OF ACETYL-COA CARBOXYLASE
family:all:5924	putative allophanate hydrolase subunit 1
family:all:5923	alpha-L-rhamnosidase
family:all:5922	unknown
family:all:5921	unknown
family:all:5920	unknown
family:all:592	phi:0000315 - plasmid entry exclusion
family:all:5919	unknown
family:all:5918	anthranilate synthase component I
family:all:5917	unknown
family:all:5916	unknown
family:all:5915	conserved hypothetical protein BctA
family:all:5914	unknown
family:all:5913	unknown
family:all:5912	unknown
family:all:5911	Cat3
family:all:5910	unknown
family:all:591	phi:0000267 - type III protein secretion system complex; go:0016887 - ATPase activity
family:all:5909	endonuclease III
family:all:5908	Carotenoid oxygenase
family:all:5907	putative transcriptional regulator
family:all:5906	unknown
family:all:5905	NAD(+) synthetase
family:all:5904	3-beta hydroxysteroid dehydrogenase/isomerase family
family:all:5903	unknown
family:all:5902	unknown
family:all:5901	23S rRNA adenine N-6-methyltransferase leader peptide
family:all:5900	unknown
family:all:590	go:0016787 - hydrolase activity
family:all:59	go:0004386 - helicase activity
family:all:59	phi:0000333 - plasmid function unknown
family:all:5899	unknown
family:all:5898	unknown
family:all:5897	unknown
family:all:5896	galactose-1-phosphate uridylyltransferase
family:all:5895	CRISPR-associated CT1134 family protein
family:all:5894	unknown
family:all:5893	unknown
family:all:5892	N-acetylglucosamine-6-phosphate deacetylase
family:all:5891	CRISPR-associated protein, Csd1 family
family:all:5890	phage integrase
family:all:589	phi:0000326 - phage function unknown
family:all:5889	putative acyltransferase
family:all:5888	probable transcriptional regulator, CopG family
family:all:5887	Protein of unknown function DUF11
family:all:5886	unknown
family:all:5885	unknown
family:all:5884	unknown
family:all:5883	unknown
family:all:5882	gp30
family:all:5881	unknown
family:all:5880	unknown
family:all:588	phi:0000100 - anti repressor activity
family:all:5879	unknown
family:all:5878	unknown
family:all:5877	cpp21
family:all:5876	cmgb7
family:all:5875	cpp25
family:all:5874	transposase
family:all:5873	17 kDa surface antigen
family:all:5872	unknown
family:all:5871	putative UvrD/Rep family helicase
family:all:5870	unknown
family:all:587	phi:0000048 - negative transcriptional regulation of phage gene expression
family:all:587	go:0016564 - transcription repressor activity
family:all:587	phi:0000057 - maintenance of prophage immunity; go:0016564 - transcription repressor activity
family:all:5869	putative ATPase
family:all:5868	unknown
family:all:5867	ORF111
family:all:5866	6-phosphofructokinase
family:all:5865	TPR, tetratricopeptide repeat domain
family:all:5864	unknown
family:all:5863	unknown
family:all:5862	Cupin 2, conserved barrel domain protein
family:all:5861	gp103
family:all:5860	putative ATP-binding protein
family:all:586	phi:0000326 - phage function unknown
family:all:5859	unknown
family:all:5858	unknown
family:all:5857	unknown
family:all:5856	extracellular solute-binding protein, family 1
family:all:5855	unknown
family:all:5854	unknown
family:all:5853	unknown
family:all:5852	unknown
family:all:5851	unknown
family:all:5850	putative replication protein
family:all:585	phi:0000066 - phage head/capsid major protein
family:all:5849	unknown
family:all:5848	unknown
family:all:5847	unknown
family:all:5846	unknown
family:all:5845	unknown
family:all:5844	unknown
family:all:5843	unknown
family:all:5842	unknown
family:all:5841	restriction endonuclease CGLIIR protein
family:all:5840	unknown
family:all:584	phi:0000326 - phage function unknown
family:all:5839	polyketide synthase protein
family:all:5838	unknown
family:all:5837	putative transmembrane protein
family:all:5836	unknown
family:all:5835	w0043
family:all:5834	ToxR-regulated lipoprotein
family:all:5833	EtpC
family:all:5832	EptO
family:all:5831	EtpM
family:all:5830	EtpH
family:all:583	phi:0000038 - phage class III gene transcription; phi:0000049 - positive transcriptional regulation of phage gene expression; go:0030401 - transcription antiterminator activity
family:all:5829	EptJ
family:all:5828	EtpK
family:all:5827	EtpI
family:all:5826	EtpL
family:all:5825	unknown
family:all:5824	unknown
family:all:5823	unknown
family:all:5822	unknown
family:all:5821	YcdA
family:all:5820	unknown
family:all:582	go:0045203 - integral to cell outer membrane
family:all:5819	unknown
family:all:5818	unknown
family:all:5817	alpha-glucosidase
family:all:5816	integrase
family:all:5815	unknown
family:all:5814	unknown
family:all:5813	unknown
family:all:5812	unknown
family:all:5811	unknown
family:all:5810	replication protein
family:all:581	go:0016564 - transcription repressor activity
family:all:5809	unknown
family:all:5808	MembB
family:all:5807	unknown
family:all:5806	unknown
family:all:5805	possible hydrolase
family:all:5804	unknown
family:all:5803	unknown
family:all:5802	GtrA-like protein
family:all:5801	unknown
family:all:5800	unknown
family:all:580	phi:0000187 - capsid structural protein
family:all:580	phi:0000096 - phage tail fiber major protein
family:all:58	phi:0000011 - phage tail fiber assembly
family:all:58	phi:0000011 - phage tail fiber assembly; phi:0000108 - tail fiber chaperon activity
family:all:58	phi:0000326 - phage function unknown
family:all:5799	unknown
family:all:5798	unknown
family:all:5797	Methyltransferase type 11
family:all:5796	pesticin immunity protein
family:all:5795	Peptidoglycan-binding domain 1 protein
family:all:5794	NADH dehydrogenase I, D subunit
family:all:5793	unknown
family:all:5792	unknown
family:all:5791	putative transmembrane protein
family:all:5790	unknown
family:all:579	phi:0000317 - relaxase activity
family:all:5789	unknown
family:all:5788	porin outer membrane protein
family:all:5787	protein-N(pi)-phosphohistidine-sugar phosphotransferase protein (enzyme II of thephosphotransferase system)
family:all:5786	unknown
family:all:5785	transcriptional regulator, XRE family
family:all:5784	unknown
family:all:5783	unknown
family:all:5782	unknown
family:all:5781	unknown
family:all:5780	L-seryl-tRNA(ser) selenium transferase protein
family:all:578	go:0000146 - microfilament motor activity; aclame:576 - plasmid partitioning protein family ParM
family:all:5779	putative cytochrome C-like protein
family:all:5778	unknown
family:all:5777	unknown
family:all:5776	putative acetyltransferase
family:all:5775	unknown
family:all:5774	unknown
family:all:5773	conserved hypothetical protein, possibly exported
family:all:5772	putative response regulator
family:all:5771	unknown
family:all:5770	unknown
family:all:577	go:0003677 - DNA binding
family:all:577	phi:0000333 - plasmid function unknown
family:all:5769	unknown
family:all:5768	unknown
family:all:5767	transposase
family:all:5766	phage integrase
family:all:5765	transcriptional regulator
family:all:5764	cell surface glycoprotein
family:all:5763	unknown
family:all:5762	unknown
family:all:5761	FAD dependent oxidoreductase
family:all:5760	ATPase-like protein
family:all:576	go:0043683 - type IV pilus biogenesis
family:all:5759	transcriptional regulator, XRE family
family:all:5758	putative integral membrane protein
family:all:5757	hypothetical protein pJS-B_04
family:all:5756	unknown
family:all:5754	go:0005215 - transporter activity; go:0042493 - response to drug
family:all:5753	putative galactokinase/mevalonate kinase
family:all:5752	IroD
family:all:5751	conserved hypothetical protein, truncation
family:all:5750	unknown
family:all:575	phi:0000156 - relaxosome; phi:0000109 - DNA binding activity; phi:0000271 - intercellular transfer by conjugation
family:all:5749	unknown
family:all:5748	envelope protein
family:all:5747	PTS system, IID component
family:all:5746	PTS system, IIC component
family:all:5745	HYPOTHETICAL 50.8 KDA PROTEIN IN SYRB 5'REGION (ORF3)
family:all:5744	peptidase C45 acyl-coenzyme A:6-aminopenicillanic acid acyl-transferase
family:all:5743	transcriptional regulator, MerR family
family:all:5742	phage protein
family:all:5741	unknown
family:all:5740	myo-inositol catabolism IolB protein
family:all:574	phi:0000326 - phage function unknown
family:all:5739	microcin immunity protein MccF-like protein
family:all:5738	neutral protease
family:all:5737	putative transmembrane protein
family:all:5736	unknown
family:all:5735	unknown
family:all:5734	unknown
family:all:5733	unknown
family:all:5732	unknown
family:all:5731	unknown
family:all:5730	unknown
family:all:573	go:0016491 - oxidoreductase activity
family:all:5729	capsule biosynthesis protein capb, (pxo2-58)
family:all:5728	capsule biosynthesis protein capc, (pxo2-57)
family:all:5727	unknown
family:all:5726	unknown
family:all:5725	unknown
family:all:5724	unknown
family:all:5723	unknown
family:all:5722	unknown
family:all:5721	unknown
family:all:5720	phi:0000044 - transcriptional-regulation of phage gene expression
family:all:572	go:0008889 - glycerophosphodiester phosphodiesterase activity
family:all:572	go:0016787 - hydrolase activity
family:all:5719	unknown
family:all:5718	hypothetical protein YPMT1.3Ac
family:all:5717	unknown
family:all:5716	unknown
family:all:5715	unknown
family:all:5714	unknown
family:all:5713	transcriptional regulator, lacI family protein
family:all:5712	unknown
family:all:5711	S-layer homology domain protein
family:all:5710	unknown
family:all:571	phi:0000013 - phage release by lysis
family:all:5709	unknown
family:all:5708	unknown
family:all:5707	unknown
family:all:5706	unknown
family:all:5705	unknown
family:all:5704	unknown
family:all:5703	CAAX amino terminal protease family protein
family:all:5702	Protein if unknown function (DUF712) superfamily
family:all:5701	unknown
family:all:5700	unknown
family:all:570	phi:0000326 - phage function unknown
family:all:57	phi:0000013 - phage release by lysis; phi:0000103 - endolysin activity
family:all:57	phi:0000103 - endolysin activity; phi:0000013 - phage release by lysis
family:all:5699	unknown
family:all:5698	unknown
family:all:5697	go:0006276 - plasmid maintenance
family:all:5696	unknown
family:all:5695	unknown
family:all:5694	unknown
family:all:5693	unknown
family:all:5692	band 7 protein
family:all:5691	unknown
family:all:5690	unknown
family:all:569	phi:0000107 - tail chaperon activity
family:all:5689	Phage protein
family:all:5688	Phage protein
family:all:5687	unknown
family:all:5686	putative transposase
family:all:5685	S23 ribosomal
family:all:5684	Abortive infection protein
family:all:5683	DNA polymerase I-like
family:all:5682	Ketosteroid isomerase-related protein-like
family:all:5681	unknown
family:all:5680	unknown
family:all:568	go:0008409 - 5'-3' exonuclease activity
family:all:568	go:0008409 - 5'-3' exonuclease activity; phi:0000129 - DNA recombination
family:all:5679	unknown
family:all:5678	ABC-type uncharacterized transport system, permease component
family:all:5677	unknown
family:all:5676	calcium-binding protein
family:all:5675	PROBABLE 1-AMINOCYCLOPROPANE-1-CARBOXYLATE OXIDASE (ACC OXIDASE) OXIDOREDUCTASE PROTEIN
family:all:5674	putative transmembrane protein
family:all:5673	putative hydrolase
family:all:5672	unknown
family:all:5671	PUTATIVE ALPHA-AMYLASE-RELATED PROTEIN
family:all:5670	glycosy hydrolase family protein
family:all:567	go:0016564 - transcription repressor activity
family:all:5669	peptidase S41
family:all:5668	pantoate--beta-alanine ligase
family:all:5667	ATPase, BadF/BadG/BcrA/BcrD type
family:all:5666	conserved hypothetical protein involved in nitrogen fixation
family:all:5665	flagellar hook-associated protein
family:all:5664	unknown
family:all:5663	putative transmembrane protein
family:all:5662	PROBABLE PERIPLASMIC ALPHA,ALPHA-TREHALASE SIGNAL PEPTIDE PROTEIN
family:all:5661	phi:0000184 - transcription factor activity
family:all:5660	unknown
family:all:566	go:0003677 - DNA binding
family:all:566	go:0000336 - positive regulation of transposition, DNA-mediated; phi:0000031 - transpositional DNA replication; go:0003677 - DNA binding
family:all:566	phi:0000136 - transpositional DNA recombination
family:all:5659	putative triosephosphate isomerase
family:all:5658	4-alpha-glucanotransferase (amylomaltase) protein
family:all:5657	conserved hypothetical protein involved in nitrogen fixation
family:all:5656	unknown
family:all:5655	unknown
family:all:5654	hypotehtical protein
family:all:5653	unknown
family:all:5652	enterotoxin TieB protein
family:all:5651	NADH:ubiquinone oxidoreductase, Na(+)-translocating, C subunit
family:all:5650	TraA protein
family:all:565	go:0051302 - regulation of cell division; go:0016887 - ATPase activity
family:all:5649	transposition regulatory protein
family:all:5648	aclame:function:547 - TA family parDE; go:0015643 - toxin binding; phi:0000322 - post-segregational killing
family:all:5647	Orf3
family:all:5646	unknown
family:all:5645	unknown
family:all:5644	cytochrome B
family:all:5643	unknown
family:all:5642	unknown
family:all:5641	unknown
family:all:5640	unknown
family:all:564	go:0006270 - DNA replication initiation; go:0003896 - DNA primase activity
family:all:5639	unknown
family:all:5638	unknown
family:all:5637	unknown
family:all:5636	unknown
family:all:5635	galactoside permease (lactose permease, M protein) (MFS family)
family:all:5634	Antitoxin of toxin-antitoxin stability system
family:all:5633	unknown
family:all:5632	response regulator receiver domain protein (CheY-like)
family:all:5631	unknown
family:all:5630	unknown
family:all:563	go:0016879 - ligase activity, forming carbon-nitrogen bonds
family:all:5629	unknown
family:all:5628	outer membrane lipoprotein
family:all:5627	unknown
family:all:5626	unknown
family:all:5625	unknown
family:all:5624	unknown
family:all:5623	aspartyl protease-like protein
family:all:5622	hemerythrin-like metal-binding protein
family:all:5621	go:0004009 - ATP-binding cassette (ABC) transporter activity
family:all:5620	unknown
family:all:562	phi:0000026 - phage DNA replication; go:0004386 - helicase activity
family:all:562	phi:0000184 - transcription factor activity
family:all:5619	unknown
family:all:5618	gp219
family:all:5617	unknown
family:all:5616	unknown
family:all:5615	metal dependent phosphohydrolase
family:all:5614	putative DNA-binding protein
family:all:5613	PE family protein
family:all:5612	go:0008933 - lytic transglycosylase activity
family:all:5611	YpbA
family:all:5610	gp5
family:all:561	aclame:function:499 - IS4 family
family:all:5609	unknown
family:all:5608	unknown
family:all:5607	unknown
family:all:5606	unknown
family:all:5605	unknown
family:all:5604	gp42
family:all:5603	gp67
family:all:5602	unknown
family:all:5601	unknown
family:all:5600	relaxase
family:all:560	go:0003723 - RNA binding; phi:0000196 - plasmid copy number control
family:all:56	go:0005215 - transporter activity
family:all:56	go:0005215 - transporter activity; phi:0000227 - type I secretion membrane fusion protein activity
family:all:5599	phage integrase family protein
family:all:5598	unknown
family:all:5597	RepC
family:all:5596	unknown
family:all:5595	unknown
family:all:5594	unknown
family:all:5593	unknown
family:all:5592	unknown
family:all:5591	unknown
family:all:5590	unknown
family:all:559	phi:0000333 - plasmid function unknown
family:all:5589	filamentation induced by cAMP protein Fic
family:all:5588	Y4mA
family:all:5587	unknown
family:all:5586	PROBABLE 6-PHOSPHOGLUCONOLACTONASE OXIDOREDUCTASE PROTEIN
family:all:5585	putative transcriptional regulator, CopG family
family:all:5584	von Willebrand factor, type A
family:all:5583	protein of unknown function DUF214
family:all:5582	virulence factor SrfB homolog
family:all:5581	glycerol-3-phosphate cytidylyltransferase
family:all:5580	unknown
family:all:558	phi:0000044 - transcriptional-regulation of phage gene expression
family:all:558	go:0000155 - two-component sensor activity
family:all:5579	histidine kinase
family:all:5578	protein of unknown function DUF167
family:all:5577	catalase
family:all:5576	cyclase/dehydrase
family:all:5575	unknown
family:all:5574	unknown
family:all:5573	Protein of unknown function DUF1971
family:all:5572	import inner membrane translocase subunit Tim44
family:all:5571	putative acetyltransferase
family:all:5570	unknown
family:all:557	go:0046028 - electron transporter, transferring electrons from cytochrome b6/f complex of photosystem II activity
family:all:557	go:0005507 - copper ion binding
family:all:5569	metallophosphoesterase
family:all:5568	O-antigen polymerase
family:all:5567	unknown
family:all:5566	unknown
family:all:5565	unknown
family:all:5564	unknown
family:all:5563	unknown
family:all:5562	unknown
family:all:5561	unknown
family:all:5560	unknown
family:all:556	go:0016671 - oxidoreductase activity, acting on sulfur group of donors, disulfide as acceptor
family:all:5559	unknown
family:all:5558	outer surface protein, putative
family:all:5557	PTS system, cellobiose-specific IIB component
family:all:5556	unknown
family:all:5555	unknown
family:all:5554	unknown
family:all:5553	unknown
family:all:5552	unknown
family:all:5551	partitioning protein C
family:all:5550	unknown
family:all:555	go:0051046 - regulation of secretion; go:0009405 - pathogenesis
family:all:5549	Atr protein
family:all:5548	unknown
family:all:5547	Tpn2 protein
family:all:5546	unknown
family:all:5545	putative plasmid replication protein RepB
family:all:5544	unknown
family:all:5543	putative epsilon antitoxin of the postsegregational killing system
family:all:5542	unknown
family:all:5541	Y4jG
family:all:5540	unknown
family:all:554	go:0016772 - transferase activity, transferring phosphorus-containing groups
family:all:5539	unknown
family:all:5538	unknown
family:all:5537	hyphotheical protein
family:all:5536	unknown
family:all:5535	unknown
family:all:5534	putative transcriptional regulator, XRE family
family:all:5533	unknown
family:all:5532	unknown
family:all:5531	unknown
family:all:5530	unknown
family:all:553	phi:0000184 - transcription factor activity
family:all:5529	unknown
family:all:5528	unknown
family:all:5527	gp62
family:all:5526	ERCC4
family:all:5525	unknown
family:all:5524	unknown
family:all:5523	peptidase M50
family:all:5522	unknown
family:all:5521	unknown
family:all:5520	unknown
family:all:552	gp51 baseplate hub assembly catalyst
family:all:5519	unknown
family:all:5518	unknown
family:all:5517	unknown
family:all:5516	unknown
family:all:5515	unknown
family:all:5514	endopeptidase
family:all:5513	conserved hypothetical protein PA2946
family:all:5512	unknown
family:all:5511	phi:0000127 - transcriptional repressor activity; phi:0000360 - negative regulation of plasmid gene expression
family:all:5510	unknown
